"city","region","country","temperature","wind","uv","time"
"Cape Town","Western Cape","South Africa",59,"16.1","1.0","2023-04-15 0:00"
"Mexico City","The Federal District","Mexico",81,"13.6","7.0","2023-04-14 16:00"
"Paris","Ile-de-France","France",46,"4.3","1.0","2023-04-15 0:00"
"Casablanca","","Morocco",59,"11.9","1.0","2023-04-14 22:00"
"Mexico City","The Federal District","Mexico",81,"13.6","7.0","2023-04-14 16:00"
"Rome","Lazio","Italy",52,"5.6","1.0","2023-04-15 0:00"
"Rome","Lazio","Italy",52,"5.6","1.0","2023-04-15 0:00"
"New York","New York","United States of America",87,"6.9","7.0","2023-04-14 18:00"
"Nairobi","Nairobi Area","Kenya",63,"2.2","1.0","2023-04-15 1:00"
"Cape Town","Western Cape","South Africa",59,"16.1","1.0","2023-04-15 0:00"
"Mexico City","The Federal District","Mexico",81,"13.6","7.0","2023-04-14 16:00"
"Casablanca","","Morocco",59,"11.9","1.0","2023-04-14 22:00"
"Islamabad","Islamabad","Pakistan",74,"7.8","1.0","2023-04-15 3:00"
"Tokyo","Tokyo","Japan",59,"8.1","4.0","2023-04-15 7:00"
"Miami","Florida","United States of America",79,"4.3","7.0","2023-04-14 18:00"
"Paris","Ile-de-France","France",46,"4.3","1.0","2023-04-15 0:00"
"Sydney","New South Wales","Australia",61,"6.9","4.0","2023-04-15 8:00"
"Hong Kong","","Hong Kong",75,"2.2","1.0","2023-04-15 6:00"
"New York","New York","United States of America",87,"6.9","7.0","2023-04-14 18:00"
"Rome","Lazio","Italy",52,"5.6","1.0","2023-04-15 0:00"
"Sydney","New South Wales","Australia",61,"6.9","4.0","2023-04-15 8:00"
"Tokyo","Tokyo","Japan",59,"8.1","4.0","2023-04-15 7:00"
"Miami","Florida","United States of America",79,"4.3","7.0","2023-04-14 18:00"
"Dubai","Dubai","United Arab Emirates",81,"11.9","1.0","2023-04-15 2:00"
"Hong Kong","","Hong Kong",75,"2.2","1.0","2023-04-15 6:00"
"Rome","Lazio","Italy",52,"5.6","1.0","2023-04-15 0:00"
"London","City of London, Greater London","United Kingdom",46,"5.6","1.0","2023-04-14 23:00"
"Casablanca","","Morocco",59,"11.9","1.0","2023-04-14 22:00"
"Miami","Florida","United States of America",79,"4.3","7.0","2023-04-14 18:00"
"Dubai","Dubai","United Arab Emirates",81,"11.9","1.0","2023-04-15 2:00"
"Hong Kong","","Hong Kong",75,"2.2","1.0","2023-04-15 6:00"
"London","City of London, Greater London","United Kingdom",46,"5.6","1.0","2023-04-14 23:00"
"Tokyo","Tokyo","Japan",59,"8.1","4.0","2023-04-15 7:00"
"Miami","Florida","United States of America",79,"4.3","7.0","2023-04-14 18:00"
"Sydney","New South Wales","Australia",61,"6.9","4.0","2023-04-15 8:00"
"Los Angeles","California","United States of America",63,"2.2","6.0","2023-04-14 15:00"
"London","City of London, Greater London","United Kingdom",46,"5.6","1.0","2023-04-14 23:00"
"Bogota","Cundinamarca","Colombia",64,"8.1","4.0","2023-04-14 17:00"
"Hong Kong","","Hong Kong",75,"2.2","1.0","2023-04-15 6:00"
"Miami","Florida","United States of America",79,"4.3","7.0","2023-04-14 18:00"
"Moscow","Moscow City","Russia",37,"4.3","3.0","2023-04-23 6:33"
"Los Angeles","California","United States of America",68,"3.8","1.0","2023-04-22 20:33"
"Hong Kong","","Hong Kong",79,"16.1","5.0","2023-04-23 11:33"
"Los Angeles","California","United States of America",68,"3.8","1.0","2023-04-22 20:33"
"Islamabad","Islamabad","Pakistan",72,"4.3","6.0","2023-04-23 8:33"
"London","City of London, Greater London","United Kingdom",50,"9.4","1.0","2023-04-23 4:33"
"Moscow","Moscow City","Russia",37,"4.3","3.0","2023-04-23 6:33"
"Sydney","New South Wales","Australia",70,"12.5","5.0","2023-04-23 13:33"
"Sydney","New South Wales","Australia",70,"12.5","5.0","2023-04-23 13:33"
"New York","New York","United States of America",57,"2.2","1.0","2023-04-22 23:33"
"Nairobi","Nairobi Area","Kenya",61,"2.2","1.0","2023-04-23 6:33"
"Dubai","Dubai","United Arab Emirates",75,"5.6","7.0","2023-04-23 7:33"
"Islamabad","Islamabad","Pakistan",72,"4.3","6.0","2023-04-23 8:33"
"London","City of London, Greater London","United Kingdom",50,"9.4","1.0","2023-04-23 4:33"
"Cape Town","Western Cape","South Africa",61,"16.1","1.0","2023-04-23 5:33"
"Nairobi","Nairobi Area","Kenya",61,"2.2","1.0","2023-04-23 6:33"
"Paris","Ile-de-France","France",48,"8.1","1.0","2023-04-23 5:33"
"Los Angeles","California","United States of America",68,"3.8","1.0","2023-04-22 20:33"
"Sydney","New South Wales","Australia",70,"12.5","5.0","2023-04-23 13:33"
"Paris","Ile-de-France","France",48,"8.1","1.0","2023-04-23 5:33"
"London","City of London, Greater London","United Kingdom",50,"9.4","1.0","2023-04-23 4:33"
"Casablanca","","Morocco",59,"10.5","1.0","2023-04-23 4:33"
"Islamabad","Islamabad","Pakistan",72,"4.3","6.0","2023-04-23 8:33"
"Los Angeles","California","United States of America",68,"3.8","1.0","2023-04-22 20:33"
"Casablanca","","Morocco",59,"10.5","1.0","2023-04-23 4:33"
"Paris","Ile-de-France","France",48,"8.1","1.0","2023-04-23 5:33"
"Nairobi","Nairobi Area","Kenya",61,"2.2","1.0","2023-04-23 6:33"
"Bogota","Cundinamarca","Colombia",57,"3.8","1.0","2023-04-22 22:33"
"Miami","Florida","United States of America",77,"2.2","1.0","2023-04-22 23:33"
"Paris","Ile-de-France","France",48,"8.1","1.0","2023-04-23 5:33"
"Islamabad","Islamabad","Pakistan",72,"4.3","6.0","2023-04-23 8:33"
"Bogota","Cundinamarca","Colombia",57,"3.8","1.0","2023-04-22 22:33"
"Nairobi","Nairobi Area","Kenya",61,"2.2","1.0","2023-04-23 6:33"
"Dubai","Dubai","United Arab Emirates",75,"5.6","7.0","2023-04-23 7:33"
"Nairobi","Nairobi Area","Kenya",61,"2.2","1.0","2023-04-23 6:33"
"Cape Town","Western Cape","South Africa",61,"16.1","1.0","2023-04-23 5:33"
"Hong Kong","","Hong Kong",79,"16.1","5.0","2023-04-23 11:33"
"Los Angeles","California","United States of America",68,"3.8","1.0","2023-04-22 20:33"
"Hong Kong","","Hong Kong",79,"16.1","5.0","2023-04-23 11:33"
"Nairobi","Nairobi Area","Kenya",61,"2.2","1.0","2023-04-23 6:33"
"Sydney","New South Wales","Australia",70,"12.5","5.0","2023-04-23 13:33"
"Casablanca","","Morocco",59,"10.5","1.0","2023-04-23 4:33"
"London","City of London, Greater London","United Kingdom",50,"9.4","1.0","2023-04-23 4:33"
"Miami","Florida","United States of America",77,"2.2","1.0","2023-04-22 23:33"
"Dubai","Dubai","United Arab Emirates",75,"5.6","7.0","2023-04-23 7:33"
"Hong Kong","","Hong Kong",79,"16.1","5.0","2023-04-23 11:33"
"Los Angeles","California","United States of America",68,"3.8","1.0","2023-04-22 20:33"
"Nairobi","Nairobi Area","Kenya",61,"2.2","1.0","2023-04-23 6:33"
"Cape Town","Western Cape","South Africa",61,"16.1","1.0","2023-04-23 5:33"
"Paris","Ile-de-France","France",48,"8.1","1.0","2023-04-23 5:33"
"Sydney","New South Wales","Australia",61,"5.6","1.0","2023-04-28 5:07"
"Nairobi","Nairobi Area","Kenya",68,"9.4","1.0","2023-04-27 22:07"
"Moscow","Moscow City","Russia",57,"6.9","1.0","2023-04-27 22:07"
"Rome","Lazio","Italy",63,"4.3","1.0","2023-04-27 21:07"
"Mexico City","The Federal District","Mexico",82,"9.4","7.0","2023-04-27 13:07"
"Nairobi","Nairobi Area","Kenya",68,"9.4","1.0","2023-04-27 22:07"
"Los Angeles","California","United States of America",69,"2.2","7.0","2023-04-27 12:07"
"Dubai","Dubai","United Arab Emirates",82,"5.6","1.0","2023-04-27 23:07"
"Nairobi","Nairobi Area","Kenya",68,"9.4","1.0","2023-04-27 22:07"
"New York","New York","United States of America",55,"2.2","3.0","2023-04-27 15:07"
"Sydney","New South Wales","Australia",61,"5.6","1.0","2023-04-28 5:07"
"Rome","Lazio","Italy",63,"4.3","1.0","2023-04-27 21:07"
"London","City of London, Greater London","United Kingdom",50,"13.6","3.0","2023-04-27 20:07"
"Rome","Lazio","Italy",63,"4.3","1.0","2023-04-27 21:07"
"London","City of London, Greater London","United Kingdom",50,"13.6","3.0","2023-04-27 20:07"
"Hong Kong","","Hong Kong",73,"5.6","1.0","2023-04-28 3:07"
"London","City of London, Greater London","United Kingdom",50,"13.6","3.0","2023-04-27 20:07"
"Tokyo","Tokyo","Japan",61,"11.9","1.0","2023-04-28 4:07"
"Miami","Florida","United States of America",86,"12.5","8.0","2023-04-27 15:07"
"Los Angeles","California","United States of America",69,"2.2","7.0","2023-04-27 12:07"
"Bogota","Cundinamarca","Colombia",64,"4.3","4.0","2023-04-27 14:07"
"Bogota","Cundinamarca","Colombia",64,"4.3","4.0","2023-04-27 14:07"
"Cape Town","Western Cape","South Africa",63,"8.1","1.0","2023-04-27 21:07"
"Mexico City","The Federal District","Mexico",82,"9.4","7.0","2023-04-27 13:07"
"Sydney","New South Wales","Australia",61,"5.6","1.0","2023-04-28 5:07"
"Dubai","Dubai","United Arab Emirates",82,"5.6","1.0","2023-04-27 23:07"
"London","City of London, Greater London","United Kingdom",50,"13.6","3.0","2023-04-27 20:07"
"Bogota","Cundinamarca","Colombia",64,"4.3","4.0","2023-04-27 14:07"
"Casablanca","","Morocco",79,"4.3","5.0","2023-04-27 20:07"
"Bogota","Cundinamarca","Colombia",64,"4.3","4.0","2023-04-27 14:07"
"Miami","Florida","United States of America",86,"12.5","8.0","2023-04-27 15:07"
"Dubai","Dubai","United Arab Emirates",82,"5.6","1.0","2023-04-27 23:07"
"Rome","Lazio","Italy",63,"4.3","1.0","2023-04-27 21:07"
"Islamabad","Islamabad","Pakistan",67,"9.8","1.0","2023-04-28 0:07"
"Los Angeles","California","United States of America",69,"2.2","7.0","2023-04-27 12:07"
"Islamabad","Islamabad","Pakistan",67,"9.8","1.0","2023-04-28 0:07"
"Paris","Ile-de-France","France",61,"10.5","1.0","2023-04-27 21:07"
"New York","New York","United States of America",55,"2.2","3.0","2023-04-27 15:07"
"Miami","Florida","United States of America",86,"12.5","8.0","2023-04-27 15:07"
"New York","New York","United States of America",55,"2.2","3.0","2023-04-27 15:07"
"Rome","Lazio","Italy",63,"4.3","1.0","2023-04-27 21:07"
"Casablanca","","Morocco",79,"4.3","5.0","2023-04-27 20:07"
"Rome","Lazio","Italy",63,"4.3","1.0","2023-04-27 21:07"
"Bogota","Cundinamarca","Colombia",64,"4.3","4.0","2023-04-27 14:07"
"Hong Kong","","Hong Kong",73,"5.6","1.0","2023-04-28 3:07"
"Miami","Florida","United States of America",86,"12.5","8.0","2023-04-27 15:07"
"New York","New York","United States of America",55,"2.2","3.0","2023-04-27 15:07"
"Miami","Florida","United States of America",86,"12.5","8.0","2023-04-27 15:07"
"Tokyo","Tokyo","Japan",61,"11.9","1.0","2023-04-28 4:07"
"Los Angeles","California","United States of America",69,"2.2","7.0","2023-04-27 12:07"
"Rome","Lazio","Italy",61,"2.2","1.0","2023-04-30 1:27"
"Paris","Ile-de-France","France",52,"8.1","1.0","2023-04-30 1:27"
"Bogota","Cundinamarca","Colombia",61,"6.9","3.0","2023-04-29 18:27"
"Cape Town","Western Cape","South Africa",59,"13.6","1.0","2023-04-30 1:27"
"Cape Town","Western Cape","South Africa",59,"13.6","1.0","2023-04-30 1:27"
"Nairobi","Nairobi Area","Kenya",64,"3.8","1.0","2023-04-30 2:27"
"Bogota","Cundinamarca","Colombia",61,"6.9","3.0","2023-04-29 18:27"
"Rome","Lazio","Italy",61,"2.2","1.0","2023-04-30 1:27"
"Hong Kong","","Hong Kong",72,"10.5","6.0","2023-04-30 7:27"
"Dubai","Dubai","United Arab Emirates",79,"3.8","1.0","2023-04-30 3:27"
"Casablanca","","Morocco",66,"11.9","1.0","2023-04-30 0:27"
"New York","New York","United States of America",51,"8.1","3.0","2023-04-29 19:27"
"Tokyo","Tokyo","Japan",72,"26.6","5.0","2023-04-30 8:27"
"Bogota","Cundinamarca","Colombia",61,"6.9","3.0","2023-04-29 18:27"
"Casablanca","","Morocco",66,"11.9","1.0","2023-04-30 0:27"
"Moscow","Moscow City","Russia",34,"2.5","1.0","2023-04-30 2:27"
"Tokyo","Tokyo","Japan",72,"26.6","5.0","2023-04-30 8:27"
"Bogota","Cundinamarca","Colombia",61,"6.9","3.0","2023-04-29 18:27"
"Casablanca","","Morocco",66,"11.9","1.0","2023-04-30 0:27"
"Islamabad","Islamabad","Pakistan",67,"6.3","1.0","2023-04-30 4:27"
"Moscow","Moscow City","Russia",34,"2.5","1.0","2023-04-30 2:27"
"Bogota","Cundinamarca","Colombia",61,"6.9","3.0","2023-04-29 18:27"
"Casablanca","","Morocco",66,"11.9","1.0","2023-04-30 0:27"
"Dubai","Dubai","United Arab Emirates",79,"3.8","1.0","2023-04-30 3:27"
"Hong Kong","","Hong Kong",72,"10.5","6.0","2023-04-30 7:27"
"Dubai","Dubai","United Arab Emirates",79,"3.8","1.0","2023-04-30 3:27"
"Miami","Florida","United States of America",87,"11.9","7.0","2023-04-29 19:27"
"Hong Kong","","Hong Kong",72,"10.5","6.0","2023-04-30 7:27"
"Cape Town","Western Cape","South Africa",59,"13.6","1.0","2023-04-30 1:27"
"Miami","Florida","United States of America",87,"11.9","7.0","2023-04-29 19:27"
"Los Angeles","California","United States of America",64,"6.9","5.0","2023-04-29 16:27"
"Los Angeles","California","United States of America",64,"6.9","5.0","2023-04-29 16:27"
"Bogota","Cundinamarca","Colombia",61,"6.9","3.0","2023-04-29 18:27"
"Miami","Florida","United States of America",87,"11.9","7.0","2023-04-29 19:27"
"Cape Town","Western Cape","South Africa",59,"13.6","1.0","2023-04-30 1:27"
"Dubai","Dubai","United Arab Emirates",79,"3.8","1.0","2023-04-30 3:27"
"Bogota","Cundinamarca","Colombia",61,"6.9","3.0","2023-04-29 18:27"
"Dubai","Dubai","United Arab Emirates",79,"3.8","1.0","2023-04-30 3:27"
"Miami","Florida","United States of America",87,"11.9","7.0","2023-04-29 19:27"
"Moscow","Moscow City","Russia",34,"2.5","1.0","2023-04-30 2:27"
"Tokyo","Tokyo","Japan",72,"26.6","5.0","2023-04-30 8:27"
"Casablanca","","Morocco",66,"11.9","1.0","2023-04-30 0:27"
"Bogota","Cundinamarca","Colombia",61,"6.9","3.0","2023-04-29 18:27"
"New York","New York","United States of America",51,"8.1","3.0","2023-04-29 19:27"
"Los Angeles","California","United States of America",64,"6.9","5.0","2023-04-29 16:27"
"Dubai","Dubai","United Arab Emirates",79,"3.8","1.0","2023-04-30 3:27"
"Cape Town","Western Cape","South Africa",59,"13.6","1.0","2023-04-30 1:27"
"Paris","Ile-de-France","France",52,"8.1","1.0","2023-04-30 1:27"
"Dubai","Dubai","United Arab Emirates",79,"3.8","1.0","2023-04-30 3:27"
"Rome","Lazio","Italy",61,"2.2","1.0","2023-04-30 1:27"
